кот|домашнее животное семейства кошачьих
топор|инструмент для рубки дерева
радуга|разноцветная дуга на небе после дождя
арбуз|большая полосатая ягода
зал|большое помещение для собраний
луна|естественный спутник Земли
арка|архитектурная конструкция в виде дуги
аист|большая перелётная птица с длинным клювом
танк|бронированная боевая машина
корова|домашнее животное, дающее молоко
автобус|транспортное средство для перевозки пассажиров
слон|самое крупное сухопутное животное
носорог|крупное животное с рогом на носу
гора|возвышенность на земной поверхности
адрес|место нахождения объекта
салон|помещение для приёма посетителей
нос|орган обоняния у человека и животных
лимит|ограничение чего-либо
лист|часть растения, растущая на стебле
театр|учреждение для показа спектаклей
рак|водное животное с клешнями
карта|географическое изображение местности
акула|крупная хищная морская рыба
антилопа|быстрое травоядное животное
алмаз|драгоценный камень, самый твёрдый минерал
заяц|быстрое животное с длинными ушами
цветок|орган размножения растений
китайский|относящийся к Китаю
йод|антисептическое средство
дорога|путь для движения транспорта
абрикос|фруктовое дерево с жёлтыми плодами
сад|участок земли с культурными растениями
дельфин|водное млекопитающее, очень умное
ноша|тяжёлый груз или бремя
шоколад|сладкое кондитерское изделие
дуб|мощное лиственное дерево
банан|тропический фрукт жёлтого цвета
насос|устройство для перекачки жидкости
сахар|сладкое кристаллическое вещество
река|природный водный поток
амбар|строение для хранения зерна
робот|автоматическое устройство
тигр|крупный хищник семейства кошачьих
рыба|водное позвоночное животное
алфавит|упорядоченный набор букв языка
трактор|сельскохозяйственная машина
лопата|инструмент для копания земли
лампа|источник искусственного света
азбука|система письменных знаков
локатор|прибор для обнаружения объектов
лев|крупный хищник, царь зверей
ваза|сосуд для цветов
аквариум|ёмкость для содержания рыб и водных растений
море|часть океана, большое водное пространство
енот|хищное млекопитающее с полосатым хвостом
носок|часть обуви или предмет одежды
небо|видимое пространство над Землёй
озеро|замкнутый водоём в природном углублении
орёл|крупная хищная птица
диван|мягкая мебель для сидения
дятел|птица, долбящая кору деревьев
лиса|хищное млекопитающее рыжего цвета
апельсин|цитрусовый фрукт оранжевого цвета
нож|режущий инструмент с лезвием
журнал|периодическое печатное издание
лимон|кислый цитрусовый фрукт
насекомое|класс членистоногих животных
лак|блестящее покрытие для дерева
диск|плоский круглый предмет
дом|строение для жилья
дикобраз|животное с иглами на теле
дерево|многолетнее растение с твёрдым стволом
зима|холодное время года
небоскрёб|очень высокое здание
бабочка|насекомое с яркими крыльями
альбом|папка для фотографий или рисунков
мост|сооружение через реку или овраг
туман|скопление мелких водяных капель в воздухе
нога|нижняя конечность человека
акация|дерево с ароматными цветами
яблоко|плод яблони
канат|толстая верёвка
номер|порядковое число или знак
рис|злаковая культура, крупа
спорт|физические упражнения и соревнования
трава|низкие растения с мягкими стеблями
автор|создатель литературного произведения
кадр|отдельное изображение в фильме
йогурт|кисломолочный продукт
туча|тёмное густое облако
аромат|приятный запах
лотос|водное растение с красивыми цветами
лодка|небольшое судно для плавания
ананас|тропический фрукт с чешуйчатой кожурой
сова|ночная хищная птица
арена|площадка для выступлений или состязаний
атлас|сборник географических карт
стадион|спортивное сооружение
натура|природа, естественная среда
алое|ярко-красный цвет

